Date,Time,Team 1,Team 1 Score,Team 2 Score,Team 2,Result,Final Score,Team 1 Odds,Team 2 Odds,Bookies Count,Year,Page
24 May 2015 - Play Offs,20:00,Mumbai Indians,202,161,Chennai Super Kings,Mumbai Indians won by 41 runs.,202/5 (20) : 161/8 (19.6),2.10,1.72,8,2015,1
22 May 2015 - Play Offs,20:00,Chennai Super Kings,140,139,Royal Challengers Bengaluru,Chennai Super Kings won by 3 wickets.,140/7 (19.5) : 139/8 (20),1.97,1.80,8,2015,1
20 May 2015 - Play Offs,20:00,Royal Challengers Bengaluru,180,109,Rajasthan Royals,Bangalore won by 71 runs.,180/4 (20) : 109/10 (19),1.57,2.33,8,2015,1
19 May 2015 - Play Offs,20:00,Chennai Super Kings,162,187,Mumbai Indians,Mumbai Indians won by 25 runs.,162/10 (18.6) : 187/6 (20),1.73,2.06,8,2015,1
17 May 2015,20:00,Sunrisers Hyderabad,113,114,Mumbai Indians,Mumbai Indians won by 9 wickets.,113/10 (20) : 114/1 (13.5),1.87,1.89,8,2015,1
16 May 2015,20:00,Rajasthan Royals,199,190,Kolkata Knight Riders,Rajasthan Royals won by 9 runs.,199/6 (20) : 190/9 (20),2.06,1.72,8,2015,1
15 May 2015,20:00,Sunrisers Hyderabad,135,83,Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 6 wickets (DLS method).,135/3 (11) : 83/4 (5.5),2.34,1.58,8,2015,1
14 May 2015,20:00,Mumbai Indians,171,166,Kolkata Knight Riders,Mumbai Indians won by 5 runs.,171/4 (20) : 166/7 (20),1.89,1.87,8,2015,1
13 May 2015,20:00,Punjab Kings,106,84,Royal Challengers Bengaluru,Punjab Kings won by 22 runs.,106/6 (10) : 84/6 (10),2.70,1.44,8,2015,1
12 May 2015,20:00,Delhi Capitals,120,119,Chennai Super Kings,Delhi Capitals won by 6 wickets.,120/4 (16.4) : 119/6 (20),2.77,1.43,8,2015,1
11 May 2015,20:00,Sunrisers Hyderabad,185,180,Punjab Kings,Sunrisers Hyderabad won by 5 runs.,185/5 (20) : 180/7 (20),1.63,2.23,8,2015,1
10 May 2015,20:00,Chennai Super Kings,157,145,Rajasthan Royals,Chennai Super Kings won by 12 runs.,157/5 (20) : 145/9 (20),1.48,2.58,8,2015,1
09 May 2015,20:00,Delhi Capitals,157,163,Sunrisers Hyderabad,Sunrisers Hyderabad won by 6 runs.,157/4 (20) : 163/4 (20),2.07,1.72,8,2015,1
08 May 2015,20:00,Chennai Super Kings,158,159,Mumbai Indians,Mumbai Indians won by 6 wickets.,158/5 (20) : 159/4 (19.2),1.48,2.59,8,2015,1
07 May 2015,20:00,Kolkata Knight Riders,171,158,Delhi Capitals,Kolkata Knight Riders won by 13 runs.,171/7 (20) : 158/6 (20),1.60,2.29,8,2015,1
06 May 2015,20:00,Royal Challengers Bengaluru,226,88,Punjab Kings,Bangalore won by 138 runs.,226/3 (20) : 88/10 (13.4),1.55,2.39,8,2015,1
05 May 2015,20:00,Mumbai Indians,153,152,Delhi Capitals,Mumbai Indians won by 5 wickets.,153/5 (19.3) : 152/6 (20),1.65,2.19,8,2015,1
04 May 2015,20:00,Kolkata Knight Riders,167,132,Sunrisers Hyderabad,Kolkata Knight Riders won by 35 runs.,167/7 (20) : 132/9 (20),1.67,2.15,8,2015,1
03 May 2015,20:00,Rajasthan Royals,189,175,Delhi Capitals,Rajasthan Royals won by 14 runs.,189/2 (20) : 175/7 (20),1.74,2.05,8,2015,1
02 May 2015,20:00,Sunrisers Hyderabad,192,170,Chennai Super Kings,Sunrisers Hyderabad won by 22 runs.,192/7 (20) : 170/6 (20),2.71,1.44,8,2015,1
01 May 2015,20:00,Mumbai Indians,187,179,Rajasthan Royals,Mumbai Indians won by 8 runs.,187/5 (20) : 179/7 (20),1.84,1.94,8,2015,1
30 Apr 2015,20:00,Kolkata Knight Riders,169,165,Chennai Super Kings,Kolkata Knight Riders won by 7 wickets.,169/3 (19.5) : 165/9 (20),2.36,1.56,8,2015,1
28 Apr 2015,20:00,Chennai Super Kings,134,132,Kolkata Knight Riders,Chennai Super Kings won by 2 runs.,134/6 (20) : 132/9 (20),1.47,2.61,8,2015,1
27 Apr 2015,20:00,Punjab Kings,130,150,Sunrisers Hyderabad,Sunrisers Hyderabad won by 20 runs.,130/9 (20) : 150/6 (20),1.57,2.35,8,2015,1
26 Apr 2015,20:00,Delhi Capitals,95,99,Royal Challengers Bengaluru,Bangalore won by 10 wickets.,95/10 (18.2) : 99 (10.3),2.37,1.56,8,2015,1
25 Apr 2015,20:00,Chennai Super Kings,192,95,Punjab Kings,Chennai Super Kings won by 97 runs.,192/3 (20) : 95/9 (20),1.59,2.30,8,2015,1
24 Apr 2015,20:00,Rajasthan Royals,130,134,Royal Challengers Bengaluru,Bangalore won by 9 wickets.,130/9 (20) : 134/1 (16.1),2.01,1.77,8,2015,1
23 Apr 2015,20:00,Delhi Capitals,190,153,Mumbai Indians,Delhi Capitals won by 37 runs.,190/4 (20) : 153/9 (20),2.07,1.72,8,2015,1
22 Apr 2015,20:00,Royal Challengers Bengaluru,154,181,Chennai Super Kings,Chennai Super Kings won by 27 runs.,154/8 (20) : 181/8 (20),2.13,1.69,8,2015,1
21 Apr 2015,20:00,Rajasthan Royals,191,191,Punjab Kings,Match Tied - Punjab Kings won the Super Over.,191/6 (20) : 191/6 (20),1.94,1.83,8,2015,1
20 Apr 2015,20:00,Delhi Capitals,146,147,Kolkata Knight Riders,Kolkata Knight Riders won by 6 wickets.,146/8 (20) : 147/4 (18.1),2.23,1.63,8,2015,1
19 Apr 2015,20:00,Royal Challengers Bengaluru,191,209,Mumbai Indians,Mumbai Indians won by 18 runs.,191/7 (20) : 209/7 (20),1.53,2.41,8,2015,1
18 Apr 2015,20:00,Punjab Kings,155,159,Kolkata Knight Riders,Kolkata Knight Riders won by 4 wickets.,155/9 (20) : 159/6 (17.5),1.81,1.97,8,2015,1
17 Apr 2015,20:00,Mumbai Indians,183,189,Chennai Super Kings,Chennai Super Kings won by 6 wickets.,183/7 (20) : 189/4 (16.4),2.62,1.47,8,2015,1
16 Apr 2015,20:00,Sunrisers Hyderabad,127,131,Rajasthan Royals,Rajasthan Royals won by 6 wickets.,127/5 (20) : 131/4 (20),1.97,1.81,8,2015,1
24 May 2015 - Play Offs,20:00,Mumbai Indians,202,161,Chennai Super Kings,Mumbai Indians won by 41 runs.,202/5 (20) : 161/8 (19.6),2.10,1.72,8,2015,2
